Jurisdicti,Situs_St_1,MEGA_APN,center_longitude,center_latitude,FieldDesc,Situs_St_2,Roll_Acres,MAP_PAGE,IrrigAcres,InactiveDa,Att1,Shape__Are,ActiveDate,CITY,Roll_AsmtD,Att5,MAPYEAR,Situs_St_3,GIS_Acres,WA_NUM,StandbyAcr,Agency_ID,FieldID,Situs_Stre,Situs_Spac,field_id,Att3,Comment,Att4,Deed_Acres,Roll_TRA,geometry_type,ZIP,OBJECTID,Att2,district,WA_FLAG,Name,ActiveFlag,VolRateAdj,Roll_Land,AreaAC,ParcelID,Roll_Asmt,unq_fld_id,Roll_Struc,FieldAcres,Shape__Len,LOT
,,,-121.74737101551598,39.02266831227654,11-14B (NORTH),,,,60.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_001,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,53.4888,21-300-003 North 60 Acres,,1,,60.0,,
,,,-121.79295421354772,39.02183166964034,11-05 A1(W)B1(W),,,,105.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,105.58,,D1A_002,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,90.9426,"21-290-027, 21-290-028",,2,,105.0,,
,,,-121.7857505101355,39.0216055054156,11-05 A1(E) B1(E),,,,113.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,121.7,,D1A_003,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,94.5735,"21-290-025, 21-290-026",,3,,113.0,,
,,,-121.77674153425616,39.02151038308891,11-09,,,,104.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,124.55,,D1A_004,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,98.2135,21-290-029,,4,,104.0,,
,,,-121.7531386999398,39.02131749996352,11-14A,,,,48.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,52.39,,D1A_005,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,40.456,21-300-003 North West 48 Acres,,5,,48.0,,
,,,-121.77105181512614,39.021314202800305,11-10,,,,66.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,74.79,,D1A_006,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,62.7304,21-290-029,,6,,66.0,,
,,,-121.76391325352131,39.02124543049275,"11-11, 11-12",,,,137.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,154.45,,D1A_007,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,133.2838,21-300-005 North 137,,7,,137.0,,
,,,-121.75695529189572,39.02088248001832,11-13,,,,68.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,79.54,,D1A_008,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,63.4666,21-300-004,,8,,68.0,,
,,,-121.74920642783454,39.01653059704547,11-14B (WEST),,,,100.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_009,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,106.0279,24-080-002,,9,,100.0,,
,,,-121.7451849369283,39.016227138500184,11-14B (CENTER),,,,80.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_010,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,82.2324,21-300-003 Center 80 Acres,,10,,80.0,,
,,,-121.7414108363499,39.015115277113246,11-14B (EAST),,,,83.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.32,,D1A_011,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,79.8336,21-300-003 South East 83 Acres,,11,,83.0,,
,,,-121.77108439968545,39.014701836449966,11-18,,,,69.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,71.78,,D1A_012,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,63.5043,21-290-030,,12,,69.0,,
,,,-121.76398769935821,39.014654697327366,"11-16, 11-17",,,,142.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,147.38,,D1A_013,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,137.4659,21-300-005 South 142,,13,,142.0,,
,,,-121.75564545679627,39.014375308320226,11-15,,,,113.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,120.71,,D1A_014,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,108.0347,21-300-004,,14,,113.0,,
,,,-121.77530770108905,39.012796025563944,"11-19, 11-28",,,,111.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,117.82,,D1A_015,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,105.921,"21-290-030, 24-290-011",,15,,111.0,,
,,,-121.74731289076229,39.0082125059071,11-33,,,,58.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,68.98,,D1A_016,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,49.6974,24-080-002,,16,,58.0,,
,,,-121.771106262649,39.00769856074596,11-29,,,,76.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,78.1,,D1A_017,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,70.563,24-090-011,,17,,76.0,,
,,,-121.76401095682763,39.00766492448683,"11-30, 11-31A",,,,155.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,161.3,,D1A_018,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,149.2854,"24-090-012, 24-090-011",,18,,155.0,,
,,,-121.7415132234544,39.007568228983246,167 (N),,,,140.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,156.31,,D1A_019,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,125.1696,24-080-008 North  140 Acres,,19,,140.0,,
,,,-121.75427353694603,39.00750528898521,"11-31B, 11-32",,,,170.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,179.53,,D1A_020,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,159.7285,24-210-003,,20,,170.0,,
,,,-121.75051031602536,39.00077208033738,"11-34(N), 167 A2",,,,117.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,159.96,,D1A_021,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,117.374,"24-080-004, 24-080-008",,21,,117.0,,
,,,-121.74103827480764,39.00053117257298,167 (S),,,,152.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,156.31,,D1A_022,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,165.0292,24-080-008 South 152 Acres,,22,,152.0,,
,,,-121.76891994640927,39.000404746349595,"11-36, 11-37",,,,142.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,150.63,,D1A_023,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,137.0412,,,23,,142.0,,
,,,-121.75721338879711,39.000189461164204,11-35 (E),,,,85.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.47,,D1A_024,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,76.6286,,,24,,85.0,,
,,,-121.76204286997996,39.000179286443064,11-35 (W),,,,80.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.46,,D1A_025,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,76.8366,24-080-003,,25,,80.0,,
,,,-121.74984019475653,38.99526733928916,"11-34(S),  11-46A",,,,128.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,91.74,,D1A_026,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,110.8927,,,26,,128.0,,
,,,-121.73434240161093,38.99433261483515,10-02 (N),,,,86.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,145.1,,D1A_027,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,64.2775,24-110-008 North 86 Acres,,27,,86.0,,
,,,-121.7596841844362,38.99292188222026,11-45A,,,,163.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,167.3,,D1A_028,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,157.0977,24-110-001,,28,,163.0,,
,,,-121.76725014039721,38.99107147219912,"11-44, 11-47 NE",,,,130.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,144.85,,D1A_029,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,141.9639,24-100-007,,29,,130.0,,
,,,-121.74063764448482,38.989160446311395,"10-01A, 10-01B",,,,281.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,288.94,,D1A_030,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,272.901,24-110-009,,30,,281.0,,
,,,-121.75003928068179,38.98759717435252,11-46B,,,,248.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,251.11,,D1A_031,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,229.6079,"24-110-010, 24-110-003",,31,,248.0,,
,,,-121.73226973150763,38.98682361096292,10-02 (S),,,,178.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,145.1,,D1A_032,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,163.6303,24-110-008 South 178 Acres,,32,,178.0,,
,,,-121.75973234089827,38.98573929159428,11-45B,,,,158.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,162.6,,D1A_033,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,157.0111,24-110-001 South 158 Acres,,33,,158.0,,
,,,-121.72750915003186,38.9838044323945,10-03 (W),,,,30.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,41.41,,D1A_034,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,33.1973,24-120-004 West 30 Acres,,34,,30.0,,
,,,-121.72370056728593,38.98288418735053,10-03 (E),,,,34.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,41.41,,D1A_035,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,23.6356,,,35,,34.0,,
,,,-121.73451118335683,38.9783813597259,10-05 (NW),,,,73.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,81.43,,D1A_036,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,61.7119,24-140-006 North West 73 Acres,,36,,73.0,,
,,,-121.74115094902808,38.97834476399209,10-06A,,,,159.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,161.68,,D1A_037,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,150.8786,24-140-005,,37,,159.0,,
,,,-121.75264664863644,38.978323004055824,11-57A1 NW,,,,72.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,79.6,,D1A_038,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,72.1669,24-140-002,,38,,72.0,,
,,,-121.7480958109862,38.97831395120942,11-57A2 NE,,,,78.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,79.87,,D1A_039,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,72.3106,24-140-003,,39,,78.0,,
,,,-121.72336617886668,38.97789465412674,"141, 10-04B (N)",,,,130.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,136.64,,D1A_040,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,130.9008,24-130-012,,40,,130.0,,
,,,-121.75947268044769,38.9754847569884,"11-56, 11-58  S",,,,283.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,305.75,,D1A_041,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,295.8627,24-140-001,,41,,283.0,,
,,,-121.73152004752633,38.974955842825494,10-05 (CENTER),,,,92.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,81.44,,D1A_042,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,95.6109,24-140-006 Center 92 Acres,,42,,92.0,,
,,,-121.72898105167047,38.97254392632649,10-05 (SE),,,,95.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,81.43,,D1A_043,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,86.9246,24-140-006 South East 95 Acres,,43,,95.0,,
,,,-121.72332259876997,38.97246298426029,"141, 10-04B (N)",,,,65.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,68.32,,D1A_044,,,,,"Partial of 141, 10-04B (N)",,,,Polygon,,,,SMWC,,,Y,0.0,,57.5437,24-130-012,,44,,65.0,,
,,,-121.73517586509459,38.9719873666521,10-05 (SW),,,,30.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,81.45,,D1A_045,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,31.6974,24-140-006 South West 30 Acres,,45,,30.0,,
,,,-121.75032406556956,38.97112013520698,,,,,150.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,160.86,,D1A_046,,,,,Need to update RRA acreage and field-turnout linkages,,,,Polygon,,,,SMWC,,,Y,0.0,,149.3751,,,46,,150.0,,
,,,-121.74111635965335,38.971092789546624,10-06B,,,,160.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,162.32,,D1A_047,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,151.4935,24-140-007,,47,,160.0,,
,,,-121.72294278905594,38.9691249182637,"141, 10-04B (N)",,,,66.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,68.32,,D1A_048,,,,,"Partial of 141, 10-04B (N)",,,,Polygon,,,,SMWC,,,Y,0.0,,64.6968,24-130-012,,48,,66.0,,
,,,-121.74021060496416,38.9642362076272,10-07 (N),,,,161.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,174.9,,D1A_049,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,155.6771,,,49,,161.0,,
,,,-121.75264796840693,38.96401356178417,"8-04, 8-05A N",,,,217.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,228.12,,D1A_050,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,208.2348,"24-170-013,24-170-010",,50,,217.0,,
,,,-121.72234278709418,38.963381436142676,10-09 (N),,,,163.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,177.69,,D1A_051,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,163.1543,24-180-001,,51,,163.0,,
,,,-121.7315517120785,38.95960377612481,10-08,,,,272.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,289.26,,D1A_052,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,277.0899,24-170-009,,52,,272.0,,
,,,-121.74121208847427,38.9569263736256,10-07 (S),,,,178.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,174.9,,D1A_053,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,166.5941,24-170-006,,53,,178.0,,
,,,-121.75053774080352,38.956788361602094,8-05B,,,,142.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,148.25,,D1A_054,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,139.2609,24-170-006,,54,,142.0,,
,,,-121.74833427415159,38.949792732475345,8-06,,,,76.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,84.6,,D1A_055,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,73.4804,,,55,,76.0,,
,,,-121.74118197666279,38.949256121869404,8-07,,,,150.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,157.88,,D1A_056,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,144.0973,24-200-002,,56,,150.0,,
,,,-121.7936995706186,39.050857750328085,1660-F 5,,,,187.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,156.21,,D1B_001,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,187.8546,,,57,,187.0,,
,,,-121.78519685672943,39.04795985337877,1660-F 6P,,,,204.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,266.9,,D1B_002,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,213.4701,21-210-005,,58,,204.0,,
,,,-121.77740619464561,39.047711556076855,1660-F 7,,,,279.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,306.67,,D1B_003,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,285.3549,,,59,,279.0,,
,,,-121.76874715311223,39.04753918218618,1660-F 8,,,,280.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,306.67,,D1B_004,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,275.4186,,,60,,280.0,,
,,,-121.79638937353207,39.046188457225654,1660-F4,,,,78.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,84.45,,D1B_005,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,73.9213,21-220-001,,61,,78.0,,
,,,-121.76000109715314,39.04589908285058,1660-F 9 E,,,,207.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,245.19,,D1B_006,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,208.6872,21-190-002,,62,,207.0,,
,,,-121.79169065805793,39.040276439557495,1660-F3 (E),,,,208.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,205.21,,D1B_007,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,198.2255,"21-270-010, 21-270-013, 21-270-014",,63,,208.0,,
,,,-121.78320479663591,39.039066449039304,,,,,10.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,49.96,,D1B_008,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,14.6558,,,64,,10.0,,
,,,-121.77303210686247,39.03815168857068,1660-F11,,,,184.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,200.34,,D1B_009,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,184.894,21-260-001,,65,,184.0,,
,,,-121.75992517337579,39.03814688924027,1660-F12,,,,92.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,107.07,,D1B_010,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,93.1926,21-250-001,,66,,92.0,,
,,,-121.79706580218593,39.03771487461255,1660-F3 (W),,,,65.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,65.0,,D1B_011,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,58.3267,,,67,,65.0,,
,,,-121.79808695393268,39.034734010909254,,,,,16.0,2199/12/31 00:00:00.000,,,2021/03/02 00:00:00.000,,,,,,,,16.95,,D1B_012,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,16.0123,,,68,,16.0,,
,,,-121.772834573733,39.03387985101587,1660-F13,,,,137.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,154.05,,D1B_013,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,141.5509,,,69,,137.0,,
,,,-121.7598411679917,39.03382012974826,1660-F14,,,,74.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.99,,D1B_014,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,74.5411,21-250-002,,70,,74.0,,
,,,-121.79137834434137,39.033330497019634,1660-F 2 P W A,,,,70.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,133.76,,D1B_015,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,81.3489,21-280-007 East 70 Acres,,71,,70.0,,
,,,-121.78452001615608,39.033297252280214,1660-F 2 P E(N),,,,59.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.67,,D1B_016,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,56.7403,21-280-007,,72,,59.0,,
,,,-121.75421770567691,39.03048556360811,1660-F16,,,,173.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,190.83,,D1B_017,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,167.1987,"21-250-008, 21-250-005",,73,,173.0,,
,,,-121.77294283198019,39.030254397368104,1660-F15,,,,130.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,145.69,,D1B_018,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,129.5363,21-260-002,,74,,130.0,,
,,,-121.79147984266443,39.03002006015698,,,,,49.1,2199/12/31 00:00:00.000,,,2021/03/01 00:00:00.000,,,,,,,,49.1,,D1B_019,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,49.129,,,75,,49.1,,
,,,-121.78602797628326,39.02961494963687,,,,,13.2,2199/12/31 00:00:00.000,,,2021/03/01 00:00:00.000,,,,,,,,13.2,,D1B_020,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,13.2225,,,76,,13.2,,
,,,-121.78091927031154,39.01438852456368,11-20,,,,53.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,56.2,,D2__001,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,50.5124,,,77,,53.0,,
,,,-121.78553029386144,39.009948271901884,"11-24, 11-25A, 11-39  B",,,,31.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,36.81,,D2__002,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,24.2533,24-090-003,,78,,31.0,,
,,,-121.78092005060141,39.00605637203658,"11-24, 11-25A, 11-39 A",,,,190.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,189.27,,D2__003,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,180.4258,,,79,,190.0,,
,,,-121.79072918550872,39.00468173286197,11-23,,,,173.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,181.05,,D2__004,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,150.9888,,,80,,173.0,,
,,,-121.77559109536861,38.99790999832081,"11-38A, 11-41A",,,,122.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,126.89,,D2__005,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,114.6163,24-090-009,,81,,122.0,,
,,,-121.78052873666658,38.99697639436248,11-40,,,,76.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,83.48,,D2__006,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,73.9022,24-090-010,,82,,76.0,,
,,,-121.78056480763902,38.99150033662028,11-49,,,,36.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,39.93,,D2__007,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,34.2515,24-100-003 North West 36 Acres,,83,,36.0,,
,,,-121.78554610738931,38.98901325625805,158-B (FIELD 2),,,,66.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,46.0,,D2__008,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,68.7288,,,84,,66.0,,
